Iter,Time,Freq,Span,RBW,Measured Pwr,Measured Freq
1, 2025-10-09 16:15:40,80,1,10,-97.883,79.75941249489499
2, 2025-10-09 16:15:44,80,1,100,-80.717,80.42528619873
3, 2025-10-09 16:15:49,80,10,10,-69.225,84.49738054585599
4, 2025-10-09 16:15:53,80,10,100,-69.791,84.497381879195
5, 2025-10-09 16:15:57,90,1,10,-94.524,90.029931149809
6, 2025-10-09 16:16:01,90,1,100,-83.831,90.007206413385
7, 2025-10-09 16:16:05,90,10,10,-72.71,94.49380526721698
8, 2025-10-09 16:16:09,90,10,100,-57.854,94.509324463
9, 2025-10-09 16:16:13,100,1,10,-87.322,99.98648081818999
10, 2025-10-09 16:16:17,100,1,100,-85.811,99.99427950319699
11, 2025-10-09 16:16:21,100,10,10,-76.328,102.27356795038199
12, 2025-10-09 16:16:25,100,10,100,-58.34,102.30319094712199
13, 2025-10-09 16:16:28,110,1,10,-93.729,109.90701556428199
14, 2025-10-09 16:16:33,110,1,100,-90.773,109.873666601266
15, 2025-10-09 16:16:37,110,10,10,-61.111,107.01401489794098
16, 2025-10-09 16:16:41,110,10,100,-57.799,106.99519378221899
